Video ID,Title,Upload Date,Video Type,Duration,Duration in s,View Count,Like Count,Comment Count
9fo0cPmj4VA,Pokemon Stadium is a Disaster (and tournament legal),2019-12-12,Long Form,7M11S,431,1805279,46774,1939
BJjpzVBTRNE,The Most Broken Character in Melee,2019-12-05,Long Form,4M54S,294,2781611,75029,2356
7CTElokq5Ew,Low Tier Oddities,2019-11-27,Long Form,7M51S,471,1975456,48856,1111
Rq0RzKKPND0,Melee As A Religion,2019-11-16,Long Form,4M27S,267,250160,10930,291
ZqfzcDdsvtE,Enjoying Melee,2019-11-10,Long Form,4M2S,242,214159,8556,215
VVpl28MYdso,Axe's Bad Character,2019-06-25,Long Form,3M56S,236,400517,15325,812
JN70Gp_Tn6o,Melee Online,2019-04-02,Long Form,4M52S,292,437339,13114,559
9GvE3KiwCaU,"Goodbye, Melee.",2019-02-27,Long Form,3M18S,198,348739,12655,2566
csPo7Y5TXhw,Plup's One Woman,2018-12-11,Long Form,5M10S,310,299197,9135,399
LntYZNlz-wY,The End of Mang0gelion,2018-10-16,Long Form,3M20S,200,462143,13464,887
0hDDlZ8CHQc,The Curse of the Ballz,2016-12-18,Long Form,4M25S,265,251610,4394,251
