Video ID,Title,Upload Date,Numeric Date,Video Type,Duration,Duration in s,View Count,Like Count,Comment Count
c11YyI2PFVg,Steak School: T-Bone,2024-10-04,20241004,Short,41S,41,2896306,128250,372
eIwOI0XLCTk,Car Cooking: Max vs Costco Hot Dog,2024-09-27,20240927,Short,52S,52,7025830,412149,1301
gNGn90gVozA,Chimichurri Stuffed Chicken,2024-09-25,20240925,Short,34S,34,967150,61186,191
Owxl9dQxqis,"$2,500 Lobster Gnocchi",2024-09-22,20240922,Short,48S,48,9887691,629069,2777
xqBQVqqCGY4,Is this the perfect bite?,2024-09-18,20240918,Short,10S,10,5368424,278238,937
0bQ8whf9Bu0,Best “it’s raw” comment wins (tomahawk BLT),2024-09-11,20240911,Short,14S,14,12579909,494325,10181
E0QYtD8DZ_c,Wagyu A5 vs 2500° Forge,2024-08-26,20240826,Short,44S,44,13119610,677010,1237
Zc0qKEfzKQo,Live Fire Pork Belly Accordion,2024-08-19,20240819,Short,45S,45,5387416,312235,852
ZEh-qvsG3AE,Porchetta Roasted in Chimichurri Salt,2024-08-16,20240816,Short,48S,48,3822583,174955,781
Xg5eyXFgmJo,"$1 vs $5,000 Mac and Cheese",2024-08-13,20240813,Short,1M,60,101179495,3907960,13951
pdp8epfX7jk,Larry the Lobster Boil,2024-08-05,20240805,Short,53S,53,3813072,257908,1542
EI__pA1Rm2o,3 Levels of Duck...,2024-07-31,20240731,Short,44S,44,3606576,220372,677
t2viyjJFNPA,If you find yourself with a whole salmon...,2024-07-26,20240726,Short,36S,36,4571295,258351,1181
GfAf194V0KM,Doctor said I need to eat more vegetables...,2024-07-19,20240719,Short,24S,24,12717199,671335,3923
6JtLxCszFsE,"$3,000 Wagyu A5 Meat Tower",2024-07-10,20240710,Short,28S,28,5235812,270470,1317
V0gUMXDDD0Q,I almost burned down my neighborhood...,2024-07-06,20240706,Short,56S,56,731165,51064,261
k6PclBMD--E,Whole Salmon BURIED in Citrus Salt,2024-07-03,20240703,Short,45S,45,8467523,597735,1346
gR8HUkMWF3o,I took over a butcher shop for a day...,2024-06-29,20240629,Short,51S,51,991338,69543,249
S_qPNUVQd44,Bacon makes EVERYTHING Better,2024-06-28,20240628,Short,41S,41,1770615,111490,520
qe9ao1BBhfI,Deep Fried Dry-Aged Peking Duck,2024-06-25,20240625,Short,48S,48,2416298,156281,427
czPMeUtkQ-8,$250 Wagyu A5 Slim Jim,2024-06-20,20240620,Short,39S,39,5078651,285725,744
JOoM3Qis_1U,Don't watch if you hate butter and bacon...,2024-06-15,20240615,Short,47S,47,12063881,511592,2088
L5y_cvweBgQ,"$2,000 Wagyu Parm Pasta",2024-05-30,20240530,Short,36S,36,95911871,3423725,14428
kwfqjt-XBH8,Cooking a Frozen Brisket,2024-05-26,20240526,Short,42S,42,1320242,102319,269
YW_YtcieURY,Double Crunchwrap Cheeseburger,2024-05-22,20240522,Short,34S,34,2484420,159222,776
7z3WaCmKmWA,Max vs Salt Bae (I disowned my sister),2024-05-17,20240517,Short,29S,29,2732616,135205,470
U-IheOyI82U,"The Steak Review: Salt Bae ($1,000 tomahawk)",2024-05-15,20240515,Short,42S,42,4330859,205139,1492
uTpUh1iOcgQ,Everything I ate in Hawaii (While harvesting invasive species),2024-05-10,20240510,Short,58S,58,1009630,67827,496
GQk9dJmLxXg,I Turned Steak Into Bread,2024-05-01,20240501,Short,32S,32,11390227,616276,1908
