Video ID,Title,Upload Date,Video Type,Duration,Duration in s,View Count,Like Count,Comment Count
vzXULTmvWnk,I Cooked the World’s CRAZIEST Eggs,2025-02-25,Short,2M5S,125,30525909,1896976,13097
vBlxvLQax_M,I Challenged a MasterChef: $1 vs $1000,2025-02-23,Long Form,14M52S,892,4481354,74115,1175
4UEzMoGvkXQ,"1,000 Garlic Clove Lamb Leg",2025-02-19,Short,34S,34,4653121,263768,1176
vGx5zex1YCY,7 Day Caramel Soaked Ribs,2025-02-19,Short,31S,31,1778645,112896,419
NPoTVZOy53A,I Ranked the BEST Barbecue from Every Country,2025-02-16,Long Form,28M37S,1717,2109383,46958,4466
lp_Q393jAfw,I Cooked 100lbs of Protein Pt 3,2025-02-13,Short,1M,60,1657704,106131,574
AByKJ0-wpEs,I Cooked A 70lb Cow Leg,2025-02-12,Short,1M1S,61,5492995,287907,907
ig1rlhB5h1Q,I stole a whole cow leg pt 1…,2025-02-11,Short,44S,44,5741679,216315,254
w4jDx6Wenjw,World’s WORST Tasting Tuna,2025-02-10,Short,47S,47,4092007,183330,1625
QDBn3_WwbQo,If you find yourself with 20 lobsters…,2025-02-02,Short,31S,31,6194114,369519,2882
KR-9-sqDFTk,I Cooked the 11 RAREST Steaks in the World,2025-01-26,Long Form,21M11S,1271,3470058,59840,2580
d4Z4HnDTnSA,The Lobster Hot Dog,2025-01-24,Short,37S,37,1581288,125180,554
kGS_WfpU82Q,When steak put me in the hospital…,2025-01-14,Short,1M1S,61,9522008,562291,1621
39-CvROyYUQ,7 Day Molasses Cured Tomahawk,2025-01-13,Short,41S,41,2439892,162534,571
HHf0DMQ7I9Q,I Cooked EVERY Exotic Egg,2024-12-29,Long Form,22M31S,1351,5485386,68277,4665
UwfDi4tT5Og,Jalapeño Dry Aged Wagyu A5,2024-12-28,Short,1M3S,63,3599548,217089,835
jPTERm5G4vM,Deep Fried Prime Rib,2024-12-24,Short,34S,34,2138781,127219,346
eTux3Q5-D1c,Can Wasabi Dry Age Save the World’s WORST Tuna?,2024-12-22,Long Form,16M45S,1005,709039,17450,1064
OuM4JtRrIEI,Prime Rib Texas Toast Sandwich,2024-12-20,Short,43S,43,930328,76203,217
5QuFBdoHReA,The Perfect Prime Rib,2024-12-17,Short,1M11S,71,2366826,135959,744
7ED6rGme02E,The Brisket Football (Cooked in Clay),2024-12-16,Short,1M4S,64,28086105,1378650,3426
s8Z603K7cOw,I Hosted 2024’s BIGGEST YouTube Food Award Show,2024-12-15,Long Form,21M10S,1270,360503,12841,414
zAu4PRyKbu0,Panda Express Ran Out of Chicken…,2024-12-13,Short,33S,33,797518,58061,311
21ohKsJQA1g,I Tasted The World’s Most EXOTIC Meats,2024-12-12,Short,1M49S,109,12514026,721761,11196
-LCnCFHbbd8,How to slice every type of steak…,2024-12-11,Short,1M16S,76,1547731,80996,206
Jgw-HUH55ys,Pork Chop Accordion,2024-12-10,Short,45S,45,1161869,88018,523
68GyW48XoEU,Dry Aged Camel,2024-12-06,Short,33S,33,3599406,181802,1245
_I8OQEtRNEc,Buffalo Chicken Mac and Cheese,2024-12-04,Short,44S,44,913574,79272,332
O2E3ZIUho04,7 Day Honey Cured Steak,2024-12-03,Short,32S,32,78143543,4084131,11272
JBknXi2t-wE,I Soaked EVERY Meat in Syrup for 7 Days and Cooked Them,2024-12-01,Long Form,20M55S,1255,2535783,44214,1444
AiijhzdSj5Y,30 Tacos in 30 Hours,2024-12-01,Short,1M,60,1593581,100880,361
xGPQ2c1v5CI,Jalapeño Popper Pork Belly Accordion,2024-11-27,Short,54S,54,1664795,134977,726
2X0eMqOzyHE,The Perfect Thanksgiving Turkey,2024-11-26,Short,1M,60,2208280,133618,663
VG8fgE1e5_g,How to Carve a Turkey,2024-11-25,Short,36S,36,4244556,290188,446
mOug1POqBHY,Parm Wheel Dry Aged Steak,2024-11-25,Short,53S,53,10203497,615045,2026
