Video ID,Title,Upload Date,Video Type,Duration,Duration in s,View Count,Like Count,Comment Count
bnf6WyzUh08,BREAKING MADDEN: WEEK 16.,2014-12-14,Long Form,1M41S,101,54796,218,15
6kV-X5HWNEs,BREAKING MADDEN: WEEK 15.,2014-12-09,Long Form,2M28S,148,30758,421,30
AgkkcgtblIk,"BREAKING MADDEN, WEEK 10: THE CONCLUSION.",2014-11-28,Long Form,3M50S,230,18885,262,29
PFiVBTMgqOQ,BREAKING MADDEN: WEEK 12.,2014-11-18,Long Form,1M35S,95,36529,96,3
wPQt1v2CCc8,BREAKING MADDEN: WEEK 11.,2014-11-11,Long Form,1M46S,106,14274,133,11
SztGRQAR2aU,BREAKING MADDEN: WEEK 10.,2014-11-04,Long Form,2M30S,150,21396,149,15
xJFMPw8s-GY,BREAKING MADDEN: WEEK 8.,2014-10-21,Long Form,1M51S,111,10637,74,12
Rk9fygevhFc,BREAKING MADDEN: WEEK 7.,2014-10-14,Long Form,1M37S,97,20607,99,6
ee7AublJiEE,BREAKING MADDEN: WEEK 6.,2014-10-07,Long Form,1M8S,68,17307,136,21
DBXNqyD412U,BREAKING MADDEN: WEEK 5.,2014-09-30,Long Form,1M46S,106,17955,150,15
wHpOqiG8SpE,BREAKING MADDEN: WEEK 4.,2014-09-23,Long Form,1M8S,68,14989,88,5
s7fxyY0ut_E,BREAKING MADDEN: WEEK 3.,2014-09-16,Long Form,1M9S,69,17056,122,8
bGepKhDLiro,"BREAKING MADDEN, WEEK 2: TONY ROMO'S STATS FROM QUARTERBACK HELL.",2014-09-11,Long Form,1M51S,111,9380,79,8
CUdkYlIBiV0,BREAKING MADDEN: WEEK 2.,2014-09-09,Long Form,1M26S,86,16041,110,7
PzMl-W1WOXM,"BREAKING MADDEN, WEEK 1: THE CONCLUSION.",2014-09-03,Long Form,1M14S,74,22903,146,4
re5wSoiGdIE,"BREAKING MADDEN: SEASON 2, WEEK 1.",2014-08-29,Long Form,2M4S,124,40402,162,14
EKSWNipdw58,THE TIM TEBOW CFL CHRONICLES: THE CONCLUSION.,2014-08-19,Long Form,2M41S,161,7387,98,14
60vvdbFSzIk,THE TIM TEBOW CFL CHRONICLES: CHAPTER V.,2014-08-19,Long Form,1M54S,114,2345,33,2
rnni2loQeJw,THE TIM TEBOW CFL CHRONICLES: CHAPTER IV.,2014-08-19,Long Form,1M14S,74,4400,53,5
tVEhObOLegI,THE TIM TEBOW CFL CHRONICLES: CHAPTER II.,2014-08-19,Long Form,55S,55,5777,57,7
dBaJcZEMYow,THE TIM TEBOW CFL CHRONICLES: CHAPTER III.,2014-08-14,Long Form,1M13S,73,5959,58,6
6mvGzZzurRU,THE TIM TEBOW CFL CHRONICLES: CHAPTER I.,2014-08-13,Long Form,1M19S,79,13634,152,9
JUbDB55kNKc,THE TIM TEBOW CFL CHRONICLES.,2014-07-27,Long Form,2M46S,166,27789,301,23
